Thread 17: Line 5003: Deuteronomy 3:24	‘Lord God, you have begun to reveal your greatness and your very strong hand to your servant. For there is no other god, either in heaven or on earth, who is able to accomplish your works, or to be compared to your strength.
Thread 17: Line 5015: Deuteronomy 4:7	Neither is there any other nation so great, which has its gods so near to them, as our God is present to all our petitions.
Thread 17: Line 5036: Deuteronomy 4:28	And there, you will serve gods which were fabricated by the hands of men: gods of wood and of stone, who neither see, nor hear, nor eat, nor smell.
Thread 34: Line 9994: 2 Kings 17:7	For it happened that, when the sons of Israel had sinned against the Lord, their God, who had led them away from the land of Egypt, from the hand of Pharaoh, the king of Egypt, they worshipped strange gods.
Thread 34: Line 10016: 2 Kings 17:29	And each of the nations made gods of their own, and they placed them in the shrines of the high places, which the Samaritans had made: nation after nation, in their cities in which they were living.
Thread 34: Line 10018: 2 Kings 17:31	and the Avvites made Nibhaz and Tartak. Then those who were from Sepharvaim burned up their children with fire, for the gods of Sepharvaim: Adram-melech and Anam-melech.
Thread 34: Line 10020: 2 Kings 17:33	And though they worshipped the Lord, they also served their own gods, according to the custom of the nations from which they had been transferred into Samaria.
Thread 34: Line 10022: 2 Kings 17:35	And he had struck a covenant with them, and he had commanded them, saying: “You shall not fear foreign gods, and you shall not adore them, and you shall not worship them, and you shall not sacrifice to them.
Thread 34: Line 10024: 2 Kings 17:37	Also, the ceremonies, and judgments, and law, and commandment, which he wrote for you, you shall keep so that you do them for all days. And you shall not fear strange gods.
Thread 34: Line 10025: 2 Kings 17:38	And the covenant, which he struck with you, you shall not forget; neither shall you worship strange gods.
Thread 34: Line 10061: 2 Kings 18:33	Have any of the gods of the nations freed their land from the hand of the king of Assyria?
Thread 34: Line 10062: 2 Kings 18:34	Where is the god of Hamath, and of Arpad? Where is the god of Sepharvaim, of Hena, and of Avva? Have they freed Samaria from my hand?
Thread 34: Line 10063: 2 Kings 18:35	Which ones among all the gods of the lands have rescued their region from my hand, so that the Lord would be able to rescue Jerusalem from my hand?”
Thread 34: Line 10077: 2 Kings 19:12	Have the gods of the nations freed any of those whom my fathers have destroyed, such as Gozan, and Haran, and Rezeph, and the sons of Eden, who were at Telassar?
Thread 34: Line 10083: 2 Kings 19:18	And they have cast their gods into the fire. For they were not gods, but instead were the works of men’s hands, out of wood and stone. And so they destroyed them.
Thread 95: Line 27909: Acts 28:6	But they were supposing that he would soon swell up, and then would suddenly fall down and die. But having waited a long time, and seeing no ill effects in him, they changed their minds and were saying that he was a god.
Thread 39: Line 11300: 2 Chronicles 6:14	he said: “O Lord God of Israel, there is no god like you in heaven or on earth. You preserve covenant and mercy with your servants, who walk before you with all their hearts.
Thread 39: Line 11347: 2 Chronicles 7:19	But if you will have turned away, and will have forsaken my justices and my precepts, which I have set before you, and going astray, you serve strange gods, and you adore them,
Thread 39: Line 11350: 2 Chronicles 7:22	And they shall respond: ‘Because they abandoned the Lord, the God of their fathers, who led them away from the land of Egypt, and they took hold of foreign gods, and they adored and worshipped them. Therefore, all these evils have overwhelmed them.’ ”
Thread 39: Line 11465: 2 Chronicles 13:8	Now therefore, you say that you are able to resist the kingdom of the Lord, which he possesses through the sons of David, and you have a great multitude of people, and gold calves, which Jeroboam made for you as gods.
Thread 39: Line 11466: 2 Chronicles 13:9	And you have cast out the priests of the Lord, the sons of Aaron, as well as the Levites. And like all the peoples of the lands, you have made priests for yourselves. Anyone who is willing to come and perform the ritual by his hand, with a bull from the herd and with seven rams, is made a priest of those who are not gods.
Thread 40: Line 11722: 2 Chronicles 25:14	Truly, after the slaughter of the Edomites, and when the gods of the sons of Seir were brought, Amaziah chose them as gods for himself. And he was adoring them, and burning incense to them.
Thread 40: Line 11723: 2 Chronicles 25:15	For this reason, the Lord became angry against Amaziah, and he sent a prophet to him, who would say to him, “Why have you adored gods who did not free their own people from your hand?”
